DATE_TIME,PLANT_ID,DC_Power,AC_POWER,DAILY_YIELD,TOTAL_YIELD
2023-06-01 00:00:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 00:15:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 00:30:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 00:45:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 01:00:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 01:15:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 01:30:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 01:45:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 02:00:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 02:15:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 02:30:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 02:45:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 03:00:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 03:15:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 03:30:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 03:45:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 04:00:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 04:15:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 04:30:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 04:45:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 05:00:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 05:15:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 05:30:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 05:45:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 06:00:00,Plant_2,0.0,0.0,269.29,0.0
2023-06-01 06:15:00,Plant_2,2489.46,2403.71,269.29,0.6
2023-06-01 06:30:00,Plant_2,4352.91,4181.27,269.29,1.65
2023-06-01 06:45:00,Plant_2,6854.29,6559.7,269.29,3.29
2023-06-01 07:00:00,Plant_2,8906.49,8474.47,269.29,5.4
2023-06-01 07:15:00,Plant_2,12247.18,11733.47,269.29,8.34
2023-06-01 07:30:00,Plant_2,13110.61,12712.4,269.29,11.52
2023-06-01 07:45:00,Plant_2,18149.99,17533.04,269.29,15.9
2023-06-01 08:00:00,Plant_2,17547.96,17167.54,269.29,20.19
2023-06-01 08:15:00,Plant_2,19750.53,18997.8,269.29,24.94
2023-06-01 08:30:00,Plant_2,24032.15,23330.79,269.29,30.77
2023-06-01 08:45:00,Plant_2,24426.57,23563.82,269.29,36.66
2023-06-01 09:00:00,Plant_2,25856.52,24961.3,269.29,42.9
2023-06-01 09:15:00,Plant_2,25153.09,24097.5,269.29,48.93
2023-06-01 09:30:00,Plant_2,26857.98,25881.65,269.29,55.4
2023-06-01 09:45:00,Plant_2,32638.61,31467.65,269.29,63.27
2023-06-01 10:00:00,Plant_2,31720.93,30807.34,269.29,70.97
2023-06-01 10:15:00,Plant_2,34245.87,33499.97,269.29,79.34
2023-06-01 10:30:00,Plant_2,33132.1,31802.83,269.29,87.29
2023-06-01 10:45:00,Plant_2,33817.85,32169.77,269.29,95.34
2023-06-01 11:00:00,Plant_2,32386.04,31248.93,269.29,103.15
2023-06-01 11:15:00,Plant_2,34716.55,33547.78,269.29,111.54
2023-06-01 11:30:00,Plant_2,34987.61,33415.03,269.29,119.89
2023-06-01 11:45:00,Plant_2,38988.9,37928.95,269.29,129.37
2023-06-01 12:00:00,Plant_2,40104.22,39284.0,269.29,139.19
2023-06-01 12:15:00,Plant_2,34324.31,33581.99,269.29,147.59
2023-06-01 12:30:00,Plant_2,38412.65,36719.16,269.29,156.77
2023-06-01 12:45:00,Plant_2,34171.66,33360.46,269.29,165.11
2023-06-01 13:00:00,Plant_2,32346.01,31412.34,269.29,172.96
2023-06-01 13:15:00,Plant_2,37433.81,36071.8,269.29,181.98
2023-06-01 13:30:00,Plant_2,37226.83,35969.25,269.29,190.97
2023-06-01 13:45:00,Plant_2,36971.41,36065.17,269.29,199.99
2023-06-01 14:00:00,Plant_2,29149.58,28111.97,269.29,207.02
2023-06-01 14:15:00,Plant_2,29434.21,28292.05,269.29,214.09
2023-06-01 14:30:00,Plant_2,27053.74,26101.38,269.29,220.61
2023-06-01 14:45:00,Plant_2,28368.67,27443.11,269.29,227.47
2023-06-01 15:00:00,Plant_2,26321.32,25154.56,269.29,233.76
2023-06-01 15:15:00,Plant_2,23226.99,22693.4,269.29,239.44
2023-06-01 15:30:00,Plant_2,21455.4,20816.58,269.29,244.64
2023-06-01 15:45:00,Plant_2,18689.37,18109.96,269.29,249.17
2023-06-01 16:00:00,Plant_2,19383.06,18471.76,269.29,253.79
2023-06-01 16:15:00,Plant_2,16376.42,15854.43,269.29,257.75
2023-06-01 16:30:00,Plant_2,13952.66,13305.66,269.29,261.08
2023-06-01 16:45:00,Plant_2,10537.14,10035.16,269.29,263.59
2023-06-01 17:00:00,Plant_2,9540.33,9214.24,269.29,265.89
2023-06-01 17:15:00,Plant_2,6291.48,6052.93,269.29,267.4
2023-06-01 17:30:00,Plant_2,5149.5,4982.99,269.29,268.65
2023-06-01 17:45:00,Plant_2,2694.67,2567.15,269.29,269.29
2023-06-01 18:00:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 18:15:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 18:30:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 18:45:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 19:00:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 19:15:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 19:30:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 19:45:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 20:00:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 20:15:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 20:30:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 20:45:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 21:00:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 21:15:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 21:30:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 21:45:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 22:00:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 22:15:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 22:30:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 22:45:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 23:00:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 23:15:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 23:30:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-01 23:45:00,Plant_2,0.0,0.0,269.29,269.29
2023-06-02 00:00:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 00:15:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 00:30:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 00:45:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 01:00:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 01:15:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 01:30:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 01:45:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 02:00:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 02:15:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 02:30:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 02:45:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 03:00:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 03:15:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 03:30:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 03:45:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 04:00:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 04:15:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 04:30:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 04:45:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 05:00:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 05:15:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 05:30:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 05:45:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 06:00:00,Plant_2,0.0,0.0,273.86,269.29
2023-06-02 06:15:00,Plant_2,2245.74,2178.31,273.86,269.83
2023-06-02 06:30:00,Plant_2,5225.69,5009.28,273.86,271.09
2023-06-02 06:45:00,Plant_2,7433.22,7164.16,273.86,272.88
2023-06-02 07:00:00,Plant_2,10405.78,9945.88,273.86,275.36
2023-06-02 07:15:00,Plant_2,12774.3,12216.21,273.86,278.42
2023-06-02 07:30:00,Plant_2,13995.74,13305.63,273.86,281.74
2023-06-02 07:45:00,Plant_2,14944.55,14599.37,273.86,285.39
2023-06-02 08:00:00,Plant_2,20061.59,19185.32,273.86,290.19
2023-06-02 08:15:00,Plant_2,19940.75,19079.83,273.86,294.96
2023-06-02 08:30:00,Plant_2,20900.03,20030.34,273.86,299.97
2023-06-02 08:45:00,Plant_2,26712.83,25479.29,273.86,306.34
2023-06-02 09:00:00,Plant_2,23519.65,22794.72,273.86,312.04
2023-06-02 09:15:00,Plant_2,27183.52,25885.62,273.86,318.51
2023-06-02 09:30:00,Plant_2,27618.51,26348.78,273.86,325.1
2023-06-02 09:45:00,Plant_2,36034.4,34929.68,273.86,333.83
2023-06-02 10:00:00,Plant_2,28931.1,27779.35,273.86,340.77
2023-06-02 10:15:00,Plant_2,28601.11,27778.5,273.86,347.72
2023-06-02 10:30:00,Plant_2,35766.24,34576.04,273.86,356.36
2023-06-02 10:45:00,Plant_2,34237.04,32788.15,273.86,364.56
2023-06-02 11:00:00,Plant_2,39255.16,38058.85,273.86,374.07
