DATE_TIME,PLANT_ID,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
2023-06-01 00:00:00,Plant_2,Inverter_1,20.87,18.63,0.88
2023-06-01 00:15:00,Plant_2,Inverter_1,20.57,18.44,15.5
2023-06-01 00:30:00,Plant_2,Inverter_1,20.99,20.38,0.0
2023-06-01 00:45:00,Plant_2,Inverter_1,21.48,21.94,0.0
2023-06-01 01:00:00,Plant_2,Inverter_1,20.68,17.93,3.22
2023-06-01 01:15:00,Plant_2,Inverter_1,20.77,20.27,0.0
2023-06-01 01:30:00,Plant_2,Inverter_1,21.79,21.27,18.79
2023-06-01 01:45:00,Plant_2,Inverter_1,21.52,22.91,0.0
2023-06-01 02:00:00,Plant_2,Inverter_1,21.06,20.67,6.15
2023-06-01 02:15:00,Plant_2,Inverter_1,21.74,22.12,0.0
2023-06-01 02:30:00,Plant_2,Inverter_1,21.43,21.57,56.65
2023-06-01 02:45:00,Plant_2,Inverter_1,21.63,19.5,0.0
2023-06-01 03:00:00,Plant_2,Inverter_1,22.21,22.98,20.93
2023-06-01 03:15:00,Plant_2,Inverter_1,21.37,21.59,0.0
2023-06-01 03:30:00,Plant_2,Inverter_1,21.72,22.23,9.24
2023-06-01 03:45:00,Plant_2,Inverter_1,22.56,26.49,0.0
2023-06-01 04:00:00,Plant_2,Inverter_1,22.62,20.53,13.56
2023-06-01 04:15:00,Plant_2,Inverter_1,23.57,25.29,0.0
2023-06-01 04:30:00,Plant_2,Inverter_1,23.26,22.97,0.88
2023-06-01 04:45:00,Plant_2,Inverter_1,23.31,23.6,20.94
2023-06-01 05:00:00,Plant_2,Inverter_1,25.06,25.02,0.0
2023-06-01 05:15:00,Plant_2,Inverter_1,24.54,24.11,0.0
2023-06-01 05:30:00,Plant_2,Inverter_1,25.0,24.44,13.72
2023-06-01 05:45:00,Plant_2,Inverter_1,24.58,24.91,62.95
2023-06-01 06:00:00,Plant_2,Inverter_1,25.35,23.83,0.0
2023-06-01 06:15:00,Plant_2,Inverter_1,26.01,27.74,83.14
2023-06-01 06:30:00,Plant_2,Inverter_1,25.7,27.24,127.32
2023-06-01 06:45:00,Plant_2,Inverter_1,26.79,28.58,253.36
2023-06-01 07:00:00,Plant_2,Inverter_1,26.62,30.05,206.4
2023-06-01 07:15:00,Plant_2,Inverter_1,27.09,33.16,324.28
2023-06-01 07:30:00,Plant_2,Inverter_1,27.24,32.44,333.92
2023-06-01 07:45:00,Plant_2,Inverter_1,28.76,35.75,367.09
2023-06-01 08:00:00,Plant_2,Inverter_1,28.12,34.89,508.92
2023-06-01 08:15:00,Plant_2,Inverter_1,27.87,36.96,559.76
2023-06-01 08:30:00,Plant_2,Inverter_1,29.08,38.9,600.22
2023-06-01 08:45:00,Plant_2,Inverter_1,28.31,40.05,656.16
2023-06-01 09:00:00,Plant_2,Inverter_1,29.26,39.69,800.06
2023-06-01 09:15:00,Plant_2,Inverter_1,28.4,40.35,744.09
2023-06-01 09:30:00,Plant_2,Inverter_1,28.93,40.92,808.66
2023-06-01 09:45:00,Plant_2,Inverter_1,29.88,43.65,811.99
2023-06-01 10:00:00,Plant_2,Inverter_1,30.32,42.59,874.88
2023-06-01 10:15:00,Plant_2,Inverter_1,30.19,44.39,889.73
2023-06-01 10:30:00,Plant_2,Inverter_1,30.19,43.85,911.56
2023-06-01 10:45:00,Plant_2,Inverter_1,30.21,44.35,1001.5
2023-06-01 11:00:00,Plant_2,Inverter_1,29.71,44.29,1001.24
2023-06-01 11:15:00,Plant_2,Inverter_1,30.17,45.13,984.89
2023-06-01 11:30:00,Plant_2,Inverter_1,30.35,45.11,922.32
2023-06-01 11:45:00,Plant_2,Inverter_1,31.14,46.32,987.03
2023-06-01 12:00:00,Plant_2,Inverter_1,30.8,47.37,1081.09
2023-06-01 12:15:00,Plant_2,Inverter_1,29.73,45.68,990.94
2023-06-01 12:30:00,Plant_2,Inverter_1,30.74,46.48,1024.54
2023-06-01 12:45:00,Plant_2,Inverter_1,30.34,44.59,1024.04
2023-06-01 13:00:00,Plant_2,Inverter_1,30.11,43.71,972.49
2023-06-01 13:15:00,Plant_2,Inverter_1,30.66,45.82,921.68
2023-06-01 13:30:00,Plant_2,Inverter_1,30.76,45.49,850.82
2023-06-01 13:45:00,Plant_2,Inverter_1,30.57,45.5,917.4
2023-06-01 14:00:00,Plant_2,Inverter_1,29.53,41.92,841.58
